"State","Region Name","ASGC 2008 Code"
"NT","Alawa",705051004
"NT","Anula",705051008
"NT","Bayview-Woolner",705051011
"NT","Brinkin",705051014
"NT","City - Inner",705051018
"NT","Coconut Grove",705051024
"NT","Fannie Bay",705051028
"NT","Jingili",705051034
"NT","Karama",705051038
"NT","Larrakeyah",705051044
"NT","Leanyer",705051048
"NT","Lee Point-Leanyer Swamp",705051052
"NT","Ludmilla",705051054
"NT","Malak",705051058
"NT","Marrara",705051064
"NT","Millner",705051068
"NT","Moil",705051074
"NT","Nakara",705051078
"NT","Narrows",705051084
"NT","Nightcliff",705051088
"NT","Parap",705051094
"NT","Rapid Creek",705051098
"NT","Stuart Park",705051104
"NT","The Gardens",705051108
"NT","Tiwi",705051114
"NT","Wagaman",705051118
"NT","Wanguri",705051124
"NT","Winnellie",705051128
"NT","Wulagi",705051134
"NT","City - Remainder",705051138
"NT","East Arm",705101169
"NT","Bakewell",705102802
"NT","Driver",705102804
"NT","Durack",705102806
"NT","Gray",705102808
"NT","Gunn-Palmerston City",705102811
"NT","Moulden",705102814
"NT","Woodroffe",705102818
"NT","Palmerston (C) Bal",705102824
"NT","Litchfield (S) - Pt A",705202304
"NT","Litchfield (S) - Pt B",705202308
"NT","Belyuen (S)",710050540
"NT","Coomalie (S)",710050700
"NT","Finniss-Mary",710051509
"NT","Wagait (S)",710054560
"NT","Tiwi Islands (S)",710104050
"NT","West Arnhem (S) - Jabiru",710154663
"NT","West Arnhem (S) Bal",710154666
"NT","Alyangula",710250419
"NT","East Arnhem (S)",710251300
"NT","Nhulunbuy",710252409
"NT","Katherine (T)",710302200
"NT","Roper Gulf (S)",710303600
"NT","Victoria-Daly (S) - Wadeye and OS",710304505
"NT","Victoria-Daly (S) Bal",710304508
"NT","Barkly (S) - Tennant Creek",710350422
"NT","Barkly (S) Bal",710350425
"NT","Alice Springs (T) - Charles",710400201
"NT","Alice Springs (T) - Heavitree",710400203
"NT","Alice Springs (T) - Larapinta",710400205
"NT","Alice Springs (T) - Ross",710400207
"NT","Alice Springs (T) - Stuart",710400208
"NT","Central Desert (S)",710400620
"NT","MacDonnell (S)",710402330
"NT","Yulara",710406059
