"State","Region Name","ASGC 2008 Code"
"Qld","Bowen Hills",305011067
"Qld","City - Inner",305011143
"Qld","City - Remainder",305011146
"Qld","Dutton Park",305011187
"Qld","Fortitude Valley",305011227
"Qld","Herston",305011274
"Qld","Highgate Hill",305011277
"Qld","Kangaroo Point",305011304
"Qld","Kelvin Grove",305011315
"Qld","Milton",305011378
"Qld","New Farm",305011421
"Qld","Newstead",305011427
"Qld","Paddington",305011454
"Qld","Red Hill",305011481
"Qld","South Brisbane",305011525
"Qld","Spring Hill",305011528
"Qld","West End",305011607
"Qld","Woolloongabba",305011631
"Qld","Albion",305031004
"Qld","Alderley",305031007
"Qld","Ascot",305031026
"Qld","Ashgrove",305031031
"Qld","Bardon",305031048
"Qld","Chelmer",305031132
"Qld","Clayfield",305031151
"Qld","Corinda",305031162
"Qld","Enoggera",305031206
"Qld","Graceville",305031241
"Qld","Grange",305031244
"Qld","Hamilton",305031255
"Qld","Hendra",305031271
"Qld","Indooroopilly",305031293
"Qld","Kedron",305031312
"Qld","Lutwyche",305031345
"Qld","Newmarket",305031424
"Qld","Nundah",305031446
"Qld","St Lucia",305031506
"Qld","Sherwood",305031522
"Qld","Stafford",305031533
"Qld","Stafford Heights",305031536
"Qld","Taringa",305031558
"Qld","Toowong",305031574
"Qld","Wilston",305031618
"Qld","Windsor",305031623
"Qld","Wooloowin",305031634
"Qld","Anstead",305071018
"Qld","Aspley",305071034
"Qld","Bald Hills",305071037
"Qld","Banyo",305071045
"Qld","Bellbowrie",305071053
"Qld","Boondall",305071064
"Qld","Bracken Ridge",305071072
"Qld","Bridgeman Downs",305071075
"Qld","Brighton",305071078
"Qld","Brookfield (incl. Brisbane Forest Park)",305071084
"Qld","Carseldine",305071121
"Qld","Chapel Hill",305071127
"Qld","Chermside",305071135
"Qld","Chermside West",305071138
"Qld","Darra-Sumner",305071167
"Qld","Deagon",305071173
"Qld","Doolandella-Forest Lake",305071176
"Qld","Durack",305071184
"Qld","Ellen Grove",305071203
"Qld","Everton Park",305071211
"Qld","Ferny Grove",305071217
"Qld","Fig Tree Pocket",305071222
"Qld","Geebung",305071236
"Qld","Inala",305071288
"Qld","Jamboree Heights",305071296
"Qld","Jindalee",305071301
"Qld","Karana Downs-Lake Manchester",305071306
"Qld","Kenmore",305071318
"Qld","Kenmore Hills",305071323
"Qld","Keperra",305071326
