"State","Region Name","ASGC 2008 Code"
"SA","Gawler (T)",405052030
"SA","Playford (C) - East Central",405055681
"SA","Playford (C) - Elizabeth",405055683
"SA","Playford (C) - Hills",405055684
"SA","Playford (C) - West",405055686
"SA","Playford (C) - West Central",405055688
"SA","Port Adel. Enfield (C) - East",405055891
"SA","Port Adel. Enfield (C) - Inner",405055894
"SA","Salisbury (C) - Central",405057141
"SA","Salisbury (C) - Inner North",405057143
"SA","Salisbury (C) - North-East",405057144
"SA","Salisbury (C) - South-East",405057146
"SA","Salisbury (C) Bal",405057148
"SA","Tea Tree Gully (C) - Central",405057701
"SA","Tea Tree Gully (C) - Hills",405057704
"SA","Tea Tree Gully (C) - North",405057705
"SA","Tea Tree Gully (C) - South",405057708
"SA","Charles Sturt (C) - Coastal",405101061
"SA","Charles Sturt (C) - Inner East",405101064
"SA","Charles Sturt (C) - Inner West",405101065
"SA","Charles Sturt (C) - North-East",405101068
"SA","Port Adel. Enfield (C) - Coast",405105895
"SA","Port Adel. Enfield (C) - Park",405105896
"SA","Port Adel. Enfield (C) - Port",405105897
"SA","West Torrens (C) - East",405108411
"SA","West Torrens (C) - West",405108414
"SA","Adelaide (C)",405150070
"SA","Adelaide Hills (DC) - Central",405150121
"SA","Adelaide Hills (DC) - Ranges",405150124
"SA","Burnside (C) - North-East",405150701
"SA","Burnside (C) - South-West",405150704
"SA","Campbelltown (C) - East",405150911
"SA","Campbelltown (C) - West",405150914
"SA","Norw. P'ham St Ptrs (C) - East",405155291
"SA","Norw. P'ham St Ptrs (C) - West",405155294
"SA","Prospect (C)",405156510
"SA","Unley (C) - East",405157981
"SA","Unley (C) - West",405157984
"SA","Walkerville (M)",405158260
"SA","Holdfast Bay (C) - North",405202601
"SA","Holdfast Bay (C) - South",405202604
"SA","Marion (C) - Central",405204061
"SA","Marion (C) - North",405204064
"SA","Marion (C) - South",405204065
"SA","Mitcham (C) - Hills",405204341
"SA","Mitcham (C) - North-East",405204344
"SA","Mitcham (C) - West",405204345
"SA","Onkaparinga (C) - Hackham",405205341
"SA","Onkaparinga (C) - Hills",405205342
"SA","Onkaparinga (C) - Morphett",405205343
"SA","Onkaparinga (C) - North Coast",405205344
"SA","Onkaparinga (C) - Reservoir",405205345
"SA","Onkaparinga (C) - South Coast",405205346
"SA","Onkaparinga (C) - Woodcroft",405205347
"SA","Barossa (DC) - Angaston",410050311
"SA","Barossa (DC) - Barossa",410050314
"SA","Barossa (DC) - Tanunda",410050315
"SA","Light (RegC)",410053650
"SA","Mallala (DC)",410053920
"SA","Kangaroo Island (DC)",410102750
"SA","Adelaide Hills (DC) - North",410150125
"SA","Adelaide Hills (DC) Bal",410150128
"SA","Mount Barker (DC) - Central",410154551
"SA","Mount Barker (DC) Bal",410154554
"SA","Alexandrina (DC) - Coastal",410200221
"SA","Alexandrina (DC) - Strathalbyn",410200224
"SA","Victor Harbor (C)",410208050
"SA","Yankalilla (DC)",410208750
"SA","Barunga West (DC)",415050430
"SA","Copper Coast (DC)",415051560
"SA","Yorke Peninsula (DC) - North",415058831
"SA","Yorke Peninsula (DC) - South",415058834
"SA","Clare and Gilbert Valleys (DC)",415101140
"SA","Goyder (DC)",415102110
"SA","Wakefield (DC)",415108130
"SA","Berri & Barmera (DC) - Barmera",420050521
"SA","Berri & Barmera (DC) - Berri",420050524
"SA","Loxton Waikerie (DC) - East",420053791
"SA","Loxton Waikerie (DC) - West",420053794
"SA","Mid Murray (DC)",420054210
"SA","Renmark Paringa (DC) - Paringa",420056671
"SA","Renmark Paringa (DC) - Renmark",420056674
"SA","Unincorp. Riverland",420059039
"SA","Karoonda East Murray (DC)",420103080
"SA","Murray Bridge (RC)",420105040
"SA","Southern Mallee (DC)",420107290
"SA","The Coorong (DC)",420107800
"SA","Kingston (DC)",425053360
"SA","Naracoorte and Lucindale (DC)",425055090
"SA","Robe (DC)",425056860
"SA","Tatiara (DC)",425057630
"SA","Grant (DC)",425102250
"SA","Mount Gambier (C)",425104620
"SA","Wattle Range (DC) - East",425108341
"SA","Wattle Range (DC) - West",425108344
"SA","Cleve (DC)",430051190
"SA","Elliston (DC)",430051750
"SA","Franklin Harbour (DC)",430051960
"SA","Kimba (DC)",430053220
"SA","Le Hunte (DC)",430053570
"SA","Lower Eyre Peninsula (DC)",430053710
"SA","Port Lincoln (C)",430056300
"SA","Tumby Bay (DC)",430057910
"SA","Ceduna (DC)",430101010
"SA","Streaky Bay (DC)",430107490
"SA","Unincorp. West Coast",430109249
"SA","Whyalla (C)",435058540
"SA","Unincorp. Whyalla",435059389
"SA","Northern Areas (DC)",435155120
"SA","Orroroo/Carrieton (DC)",435155400
"SA","Peterborough (DC)",435155540
"SA","Port Pirie C Dists (M) - City",435156451
"SA","Port Pirie C Dists (M) Bal",435156454
"SA","Unincorp. Pirie",435159459
"SA","Flinders Ranges (DC)",435201830
"SA","Mount Remarkable (DC)",435204830
"SA","Port Augusta (C)",435206090
"SA","Unincorp. Flinders Ranges",435209529
"SA","Anangu Pitjantjatjara (AC)",435250250
"SA","Coober Pedy (DC)",435251330
"SA","Maralinga Tjarutja (AC)",435254000
"SA","Roxby Downs (M)",435256970
"SA","Unincorp. Far North",435259589
