"State","Region Name","ASGC 2008 Code"
"Tas","Brighton (M)",605050410
"Tas","Clarence (C)",605051410
"Tas","Derwent Valley (M) - Pt A",605051511
"Tas","Glenorchy (C)",605052610
"Tas","Hobart (C) - Inner",605052811
"Tas","Hobart (C) - Remainder",605052812
"Tas","Kingborough (M) - Pt A",605053611
"Tas","Sorell (M) - Pt A",605054811
"Tas","Central Highlands (M)",610051010
"Tas","Derwent Valley (M) - Pt B",610051512
"Tas","Glamorgan/Spring Bay (M)",610052410
"Tas","Huon Valley (M)",610053010
"Tas","Kingborough (M) - Pt B",610053612
"Tas","Sorell (M) - Pt B",610054812
"Tas","Southern Midlands (M)",610055010
"Tas","Tasman (M)",610055210
"Tas","George Town (M) - Pt A",615052211
"Tas","Launceston (C) - Inner",615054011
"Tas","Launceston (C) - Pt B",615054012
"Tas","Meander Valley (M) - Pt A",615054211
"Tas","Northern Midlands (M) - Pt A",615054611
"Tas","West Tamar (M) - Pt A",615055811
"Tas","George Town (M) - Pt B",615102212
"Tas","Launceston (C) - Pt C",615104013
"Tas","Meander Valley (M) - Pt B",615104212
"Tas","Northern Midlands (M) - Pt B",615104612
"Tas","West Tamar (M) - Pt B",615105812
"Tas","Break O'Day (M)",615150210
"Tas","Dorset (M)",615151810
"Tas","Flinders (M)",615152010
"Tas","Burnie (C) - Pt A",620050611
"Tas","Central Coast (M) - Pt A",620050811
"Tas","Devonport (C)",620051610
"Tas","Latrobe (M) - Pt A",620053811
"Tas","Waratah/Wynyard (M) - Pt A",620055411
"Tas","Burnie (C) - Pt B",620100612
"Tas","Central Coast (M) - Pt B",620100812
"Tas","Circular Head (M)",620101210
"Tas","Kentish (M)",620103210
"Tas","King Island (M)",620103410
"Tas","Latrobe (M) - Pt B",620103812
"Tas","Waratah/Wynyard (M) - Pt B",620105412
"Tas","West Coast (M)",620155610
