"State","Region Name","ASGC 2008 Code"
"WA","Cambridge (T)",505051310
"WA","Claremont (T)",505051750
"WA","Cottesloe (T)",505052170
"WA","Mosman Park (T)",505055740
"WA","Nedlands (C)",505056580
"WA","Peppermint Grove (S)",505056930
"WA","Perth (C) - Inner",505057081
"WA","Perth (C) - Remainder",505057082
"WA","Subiaco (C)",505057980
"WA","Vincent (T)",505058570
"WA","Bassendean (T)",505100350
"WA","Bayswater (C)",505100420
"WA","Kalamunda (S)",505104200
"WA","Mundaring (S)",505106090
"WA","Swan (C)",505108050
"WA","Joondalup (C) - North",505154171
"WA","Joondalup (C) - South",505154174
"WA","Stirling (C) - Central",505157914
"WA","Stirling (C) - Coastal",505157915
"WA","Stirling (C) - South-Eastern",505157916
"WA","Wanneroo (C) - North-East",505158761
"WA","Wanneroo (C) - North-West",505158764
"WA","Wanneroo (C) - South",505158767
"WA","Cockburn (C)",505201820
"WA","East Fremantle (T)",505203150
"WA","Fremantle (C) - Inner",505203431
"WA","Fremantle (C) - Remainder",505203432
"WA","Kwinana (T)",505204830
"WA","Melville (C)",505205320
"WA","Rockingham (C)",505207490
"WA","Armadale (C)",505250210
"WA","Belmont (C)",505250490
"WA","Canning (C)",505251330
"WA","Gosnells (C)",505253780
"WA","Serpentine-Jarrahdale (S)",505257700
"WA","South Perth (C)",505257840
"WA","Victoria Park (T)",505258510
"WA","Mandurah (C)",510015110
"WA","Murray (S)",510016230
"WA","Bunbury (C)",510031190
"WA","Capel (S) - Pt A",510031401
"WA","Dardanup (S) - Pt A",510032661
"WA","Harvey (S) - Pt A",510033991
"WA","Boddington (S)",510100630
"WA","Capel (S) - Pt B",510101404
"WA","Collie (S)",510101890
"WA","Dardanup (S) - Pt B",510102664
"WA","Donnybrook-Balingup (S)",510102870
"WA","Harvey (S) - Pt B",510103994
"WA","Waroona (S)",510108820
"WA","Augusta-Margaret River (S)",510150280
"WA","Busselton (S)",510151260
"WA","Boyup Brook (S)",510200770
"WA","Bridgetown-Greenbushes (S)",510200840
"WA","Manjimup (S)",510205180
"WA","Nannup (S)",510206300
"WA","Broomehill-Tambellup (S)",515051080
"WA","Gnowangerup (S)",515053640
"WA","Jerramungup (S)",515054130
"WA","Katanning (S)",515054340
"WA","Kent (S)",515054480
"WA","Kojonup (S)",515054550
"WA","Woodanilling (S)",515059380
"WA","Albany (C) - Central",515100081
"WA","Albany (C) Bal",515100084
"WA","Cranbrook (S)",515102240
"WA","Denmark (S)",515102730
"WA","Plantagenet (S)",515107210
"WA","Brookton (S)",520050910
"WA","Cuballing (S)",520052310
"WA","Dumbleyung (S)",520053010
"WA","Narrogin (T)",520056440
"WA","Narrogin (S)",520056510
"WA","Pingelly (S)",520057140
"WA","Wagin (S)",520058610
"WA","Wandering (S)",520058680
"WA","West Arthur (S)",520058890
"WA","Wickepin (S)",520059100
"WA","Williams (S)",520059170
"WA","Corrigin (S)",520102100
"WA","Kondinin (S)",520104620
"WA","Kulin (S)",520104760
"WA","Lake Grace (S)",520104900
"WA","Chittering (S)",525051680
"WA","Dandaragan (S)",525052590
"WA","Gingin (S)",525053570
"WA","Moora (S)",525055600
"WA","Victoria Plains (S)",525058540
"WA","Beverley (S)",525100560
"WA","Cunderdin (S)",525102450
"WA","Dalwallinu (S)",525102520
"WA","Dowerin (S)",525102940
"WA","Goomalling (S)",525103710
"WA","Koorda (S)",525104690
"WA","Northam",525106732
"WA","Northam Town",525106735
"WA","Quairading (S)",525107350
"WA","Tammin (S)",525108190
"WA","Toodyay (S)",525108330
"WA","Wongan-Ballidu (S)",525109310
"WA","Wyalkatchem (S)",525109450
"WA","York (S)",525109730
"WA","Bruce Rock (S)",525151120
"WA","Kellerberrin (S)",525154410
"WA","Merredin (S)",525155460
"WA","Mount Marshall (S)",525155880
"WA","Mukinbudin (S)",525155950
"WA","Narembeen (S)",525156370
"WA","Nungarin (S)",525156860
"WA","Trayning (S)",525158400
"WA","Westonia (S)",525159030
"WA","Yilgarn (S)",525159660
"WA","Kalgoorlie/Boulder (C) - Pt A",530014281
"WA","Coolgardie (S)",530051960
"WA","Kalgoorlie/Boulder (C) - Pt B",530054284
"WA","Laverton (S)",530054970
"WA","Leonora (S)",530055040
"WA","Menzies (S)",530055390
"WA","Ngaanyatjarraku (S)",530056620
"WA","Dundas (S)",530103080
"WA","Esperance (S)",530103290
"WA","Ravensthorpe (S)",530107420
"WA","Geraldton",535033522
"WA","Greenough - Pt A",535033524
"WA","Carnarvon (S)",535051540
"WA","Exmouth (S)",535053360
"WA","Shark Bay (S)",535057770
"WA","Upper Gascoyne (S)",535058470
"WA","Cue (S)",535102380
"WA","Meekatharra (S)",535105250
"WA","Mount Magnet (S)",535105810
"WA","Murchison (S)",535106160
"WA","Sandstone (S)",535107630
"WA","Wiluna (S)",535109250
"WA","Yalgoo (S)",535109590
"WA","Carnamah (S)",535151470
"WA","Chapman Valley (S)",535151610
"WA","Coorow (S)",535152030
"WA","Greenough - Pt B",535153526
"WA","Irwin (S)",535154060
"WA","Mingenew (S)",535155530
"WA","Morawa (S)",535155670
"WA","Mullewa (S)",535156020
"WA","Northampton (S)",535156790
"WA","Perenjori (S)",535157000
"WA","Three Springs (S)",535158260
"WA","East Pilbara (S)",540053220
"WA","Port Hedland (T)",540057280
"WA","Ashburton (S)",540100250
"WA","Roebourne (S)",540107560
"WA","Halls Creek (S)",545053920
"WA","Wyndham-East Kimberley (S)",545059520
"WA","Broome (S)",545100980
"WA","Derby-West Kimberley (S)",545102800
